,country,variable,value
0,Australia,Air pollution,6.7
1,Australia,Dwellings without basic facilities,0.34
2,Australia,Educational attainment,84.0
3,Australia,Employees working very long hours,12.5
4,Australia,Employment rate,73.0
5,Australia,Feeling safe walking alone at night,67.0
6,Australia,Homicide rate,0.9
7,Australia,Household net adjusted disposable income,37433.0
8,Australia,Household net wealth,528768.0
9,Australia,Housing expenditure,19.4
10,Australia,Labour market insecurity,3.1
11,Australia,Life expectancy,83.0
12,Australia,Life satisfaction,7.1
13,Australia,Long-term unemployment rate,1.0
14,Australia,Personal earnings,55206.0
15,Australia,Quality of support network,93.0
16,Australia,Rooms per person,2.28
17,Australia,Self-reported health,85.0
18,Australia,Stakeholder engagement for developing regulations,2.7
19,Australia,Student skills,499.0
20,Australia,Time devoted to leisure and personal care,14.36
21,Australia,Voter turnout,92.0
22,Australia,Water quality,92.0
23,Australia,Years in education,20.0
24,Austria,Air pollution,12.2
25,Austria,Dwellings without basic facilities,0.8
26,Austria,Educational attainment,86.0
27,Austria,Employees working very long hours,5.3
28,Austria,Employment rate,72.0
29,Austria,Feeling safe walking alone at night,86.0
30,Austria,Homicide rate,0.5
31,Austria,Household net adjusted disposable income,37001.0
32,Austria,Household net wealth,309637.0
33,Austria,Housing expenditure,20.8
34,Austria,Labour market insecurity,2.3
35,Austria,Life expectancy,82.0
36,Austria,Life satisfaction,7.2
37,Austria,Long-term unemployment rate,1.3
38,Austria,Personal earnings,53132.0
39,Austria,Quality of support network,92.0
40,Austria,Rooms per person,1.6
41,Austria,Self-reported health,71.0
42,Austria,Stakeholder engagement for developing regulations,1.3
43,Austria,Student skills,491.0
44,Austria,Time devoted to leisure and personal care,14.51
45,Austria,Voter turnout,76.0
46,Austria,Water quality,92.0
47,Austria,Years in education,17.0
48,Belgium,Air pollution,12.8
49,Belgium,Dwellings without basic facilities,0.7
50,Belgium,Educational attainment,80.0
51,Belgium,Employees working very long hours,4.3
52,Belgium,Employment rate,65.0
53,Belgium,Feeling safe walking alone at night,56.0
54,Belgium,Homicide rate,1.1
55,Belgium,Household net adjusted disposable income,34884.0
56,Belgium,Household net wealth,447607.0
57,Belgium,Housing expenditure,20.0
58,Belgium,Labour market insecurity,2.4
59,Belgium,Life expectancy,82.1
60,Belgium,Life satisfaction,6.8
61,Belgium,Long-term unemployment rate,2.3
62,Belgium,Personal earnings,54327.0
63,Belgium,Quality of support network,90.0
64,Belgium,Rooms per person,2.1
65,Belgium,Self-reported health,74.0
66,Belgium,Stakeholder engagement for developing regulations,2.0
67,Belgium,Student skills,500.0
68,Belgium,Time devoted to leisure and personal care,15.52
69,Belgium,Voter turnout,88.0
70,Belgium,Water quality,79.0
71,Belgium,Years in education,19.0
72,Brazil,Air pollution,11.7
73,Brazil,Dwellings without basic facilities,6.7
74,Brazil,Educational attainment,57.0
75,Brazil,Employees working very long hours,5.6
76,Brazil,Employment rate,57.0
77,Brazil,Feeling safe walking alone at night,45.0
78,Brazil,Homicide rate,19.0
79,Brazil,Household net adjusted disposable income,14741.1
80,Brazil,Household net wealth,119038.7
81,Brazil,Housing expenditure,18.64
82,Brazil,Labour market insecurity,9.9
83,Brazil,Life expectancy,75.9
84,Brazil,Life satisfaction,6.1
85,Brazil,Long-term unemployment rate,6.15
86,Brazil,Personal earnings,28541.5
87,Brazil,Quality of support network,83.0
88,Brazil,Rooms per person,1.13
89,Brazil,Self-reported health,66.3
90,Brazil,Stakeholder engagement for developing regulations,2.2
91,Brazil,Student skills,400.0
92,Brazil,Time devoted to leisure and personal care,15.186
93,Brazil,Voter turnout,80.0
94,Brazil,Water quality,70.0
95,Brazil,Years in education,16.0
96,Canada,Air pollution,7.1
97,Canada,Dwellings without basic facilities,0.2
98,Canada,Educational attainment,92.0
99,Canada,Employees working very long hours,3.3
100,Canada,Employment rate,70.0
101,Canada,Feeling safe walking alone at night,78.0
102,Canada,Homicide rate,1.2
103,Canada,Household net adjusted disposable income,34421.0
104,Canada,Household net wealth,478240.0
105,Canada,Housing expenditure,22.9
106,Canada,Labour market insecurity,3.8
107,Canada,Life expectancy,82.1
108,Canada,Life satisfaction,7.0
109,Canada,Long-term unemployment rate,0.5
110,Canada,Personal earnings,55342.0
111,Canada,Quality of support network,93.0
112,Canada,Rooms per person,2.6
113,Canada,Self-reported health,89.0
114,Canada,Stakeholder engagement for developing regulations,2.9
115,Canada,Student skills,517.0
116,Canada,Time devoted to leisure and personal care,14.57
117,Canada,Voter turnout,68.0
118,Canada,Water quality,90.0
119,Canada,Years in education,17.0
120,Chile,Air pollution,23.4
121,Chile,Dwellings without basic facilities,9.4
122,Chile,Educational attainment,67.0
123,Chile,Employees working very long hours,7.7
124,Chile,Employment rate,56.0
125,Chile,Feeling safe walking alone at night,41.0
126,Chile,Homicide rate,2.4
127,Chile,Household net adjusted disposable income,22227.0
128,Chile,Household net wealth,135787.0
129,Chile,Housing expenditure,18.4
130,Chile,Labour market insecurity,7.0
131,Chile,Life expectancy,80.6
132,Chile,Life satisfaction,6.2
133,Chile,Long-term unemployment rate,5.73
134,Chile,Personal earnings,26729.0
135,Chile,Quality of support network,88.0
136,Chile,Rooms per person,1.9
137,Chile,Self-reported health,60.0
138,Chile,Stakeholder engagement for developing regulations,1.3
139,Chile,Student skills,438.0
140,Chile,Time devoted to leisure and personal care,14.977
141,Chile,Voter turnout,47.0
142,Chile,Water quality,62.0
143,Chile,Years in education,17.0
144,Colombia,Air pollution,22.6
145,Colombia,Dwellings without basic facilities,12.3
146,Colombia,Educational attainment,59.0
147,Colombia,Employees working very long hours,23.7
148,Colombia,Employment rate,58.0
149,Colombia,Feeling safe walking alone at night,50.0
